"id","period","date","red_balls","blue_ball","url","metadata","created_at","updated_at"
"0011bc14-45b2-4a49-9f47-4e8db0bd0a52","2017018","2017-02-16 00:00:00","{01,02,03,17,25,31}","09",NULL,NULL,"2025-12-17 14:57:45.74","2025-12-17 14:57:45.74"
"002e8645-9558-47cf-99db-ff56cbaa24c2","2003049","2003-08-10 00:00:00","{03,06,07,13,24,25}","15",NULL,NULL,"2025-12-17 14:57:36.81","2025-12-17 14:57:36.81"
"0031d5ee-ed64-4ab2-8bfe-465326984116","2007015","2007-02-04 00:00:00","{03,04,08,18,22,30}","15",NULL,NULL,"2025-12-17 14:57:38.777","2025-12-17 14:57:38.777"
"00431294-53ee-4fe7-ac55-78468eaa37c4","2007063","2007-06-03 00:00:00","{10,15,17,24,26,28}","12",NULL,NULL,"2025-12-17 14:57:38.965","2025-12-17 14:57:38.965"
"0051416f-bee2-4714-8882-5949c068af76","2025114","2025-10-05 00:00:00","{01,20,21,25,26,27}","10",NULL,NULL,"2025-12-17 14:57:51.43","2025-12-17 14:57:51.43"
"0053a826-5a98-4205-a8bb-da6b25d9c43f","2009153","2009-12-29 00:00:00","{06,07,08,20,21,25}","10",NULL,NULL,"2025-12-17 14:57:40.639","2025-12-17 14:57:40.639"
"005a3155-a27d-4105-9fe3-9b2d385a1a6f","2013119","2013-10-10 00:00:00","{05,15,20,22,26,32}","09",NULL,NULL,"2025-12-17 14:57:43.338","2025-12-17 14:57:43.338"
"0076c199-f569-4321-acc2-ac88946df74e","2024147","2024-12-22 00:00:00","{05,11,13,16,21,30}","10",NULL,NULL,"2025-12-17 14:57:50.941","2025-12-17 14:57:50.941"
"00a3e791-22d3-4ac9-8bdb-c7c5cb22d8f1","2007049","2007-05-01 00:00:00","{04,14,18,19,31,33}","02",NULL,NULL,"2025-12-17 14:57:38.907","2025-12-17 14:57:38.907"
"00b40000-f0cf-4c09-a305-a616cec0904c","2022022","2022-03-01 00:00:00","{01,07,11,15,17,19}","06",NULL,NULL,"2025-12-17 14:57:48.966","2025-12-17 14:57:48.966"
"00d64876-f5bb-4f74-a28b-084f8c9ed8a4","2017089","2017-08-01 00:00:00","{11,12,13,16,23,25}","12",NULL,NULL,"2025-12-17 14:57:46.086","2025-12-17 14:57:46.086"
"00d8dffe-3a7e-4592-93a5-d19710124699","2012008","2012-01-17 00:00:00","{01,12,20,23,24,29}","08",NULL,NULL,"2025-12-17 14:57:42.258","2025-12-17 14:57:42.258"
"00e3f767-12ed-4010-bfca-44376175503c","2021058","2021-05-27 00:00:00","{09,11,13,18,19,28}","14",NULL,NULL,"2025-12-17 14:57:48.537","2025-12-17 14:57:48.537"
"01019aa8-09a6-4378-9a25-d6f16a8fe4ee","2020009","2020-01-21 00:00:00","{03,06,08,14,19,26}","12",NULL,NULL,"2025-12-17 14:57:47.758","2025-12-17 14:57:47.758"
"010cc1d6-a698-4034-a845-3f374e42b3c6","2008010","2008-01-22 00:00:00","{03,08,11,17,21,27}","09",NULL,NULL,"2025-12-17 14:57:39.377","2025-12-17 14:57:39.377"
"0127fff0-9204-49e7-bf3c-ae1a46d44fbe","2017022","2017-02-26 00:00:00","{02,06,15,16,18,32}","15",NULL,NULL,"2025-12-17 14:57:45.759","2025-12-17 14:57:45.759"
"012f9666-f5a1-4202-a54e-64ec76d74149","2020012","2020-03-17 00:00:00","{04,13,14,23,26,31}","09",NULL,NULL,"2025-12-17 14:57:47.776","2025-12-17 14:57:47.776"
"01337bfb-4f55-42c8-b530-b5fbdc4a9596","2020039","2020-05-19 00:00:00","{02,09,10,11,16,29}","02",NULL,NULL,"2025-12-17 14:57:47.886","2025-12-17 14:57:47.886"
"01350e6f-ad3a-422d-9e48-fcd5155883fd","2023141","2023-12-07 00:00:00","{01,08,11,12,21,23}","03",NULL,NULL,"2025-12-17 14:57:50.09","2025-12-17 14:57:50.09"
"013aba7d-def0-4d99-9d95-54ba4e4b3de4","2008151","2008-12-23 00:00:00","{06,08,10,14,17,19}","06",NULL,NULL,"2025-12-17 14:57:39.942","2025-12-17 14:57:39.942"
"01411c2d-0ba8-4371-b5a2-80abfcd313df","2010052","2010-05-09 00:00:00","{01,02,19,23,27,29}","10",NULL,NULL,"2025-12-17 14:57:40.862","2025-12-17 14:57:40.862"
"01481eac-dc2f-4b65-bdba-ba928e4448b0","2010096","2010-08-19 00:00:00","{07,12,21,23,24,28}","03",NULL,NULL,"2025-12-17 14:57:41.043","2025-12-17 14:57:41.043"
"0174da9e-eb52-441b-b5a1-41637e07045f","2020097","2020-10-06 00:00:00","{02,08,21,25,26,30}","10",NULL,NULL,"2025-12-17 14:57:48.142","2025-12-17 14:57:48.142"
"017c09c0-d3bc-43f3-bc6a-ce1846da8a43","2012029","2012-03-13 00:00:00","{04,07,15,25,26,28}","03",NULL,NULL,"2025-12-17 14:57:42.33","2025-12-17 14:57:42.33"
"01808cff-bc3f-423e-a3e6-fbf01b350411","2009096","2009-08-18 00:00:00","{01,26,27,31,32,33}","03",NULL,NULL,"2025-12-17 14:57:40.345","2025-12-17 14:57:40.345"
"01837322-ac2a-43da-96f0-992ba348a5bc","2013059","2013-05-23 00:00:00","{03,10,18,24,27,29}","09",NULL,NULL,"2025-12-17 14:57:43.125","2025-12-17 14:57:43.125"
"01bb4d05-abcd-4c48-b828-d9be28b5547f","2010018","2010-02-11 00:00:00","{11,28,29,30,32,33}","02",NULL,NULL,"2025-12-17 14:57:40.713","2025-12-17 14:57:40.713"
"01e169ed-a1c3-4fca-920a-f1ad19320ee4","2009028","2009-03-12 00:00:00","{03,06,12,15,23,26}","10",NULL,NULL,"2025-12-17 14:57:40.077","2025-12-17 14:57:40.077"
"01e8f646-0289-4a69-9e02-4ac40072cadd","2008088","2008-07-29 00:00:00","{01,06,08,16,17,23}","05",NULL,NULL,"2025-12-17 14:57:39.694","2025-12-17 14:57:39.694"
"01ea368e-0ae6-46e0-af47-70cf6dddc253","2013066","2013-06-09 00:00:00","{01,03,16,17,20,32}","07",NULL,NULL,"2025-12-17 14:57:43.155","2025-12-17 14:57:43.155"
"0217c847-6a78-47e7-beeb-5d2bde4dc684","2022046","2022-04-26 00:00:00","{02,11,24,25,27,30}","14",NULL,NULL,"2025-12-17 14:57:49.056","2025-12-17 14:57:49.056"
"02188f95-6118-440e-b989-ee1a0e5b6b97","2025051","2025-05-08 00:00:00","{01,02,03,04,17,22}","01",NULL,NULL,"2025-12-17 14:57:51.188","2025-12-17 14:57:51.188"
"0222996a-5dd0-4894-a070-f08f6a9f0158","2018040","2018-04-10 00:00:00","{01,03,08,13,18,23}","16",NULL,NULL,"2025-12-17 14:57:46.537","2025-12-17 14:57:46.537"
"0225d826-e05d-4383-914b-d3b3536bcd5b","2019016","2019-02-12 00:00:00","{05,07,09,11,19,25}","05",NULL,NULL,"2025-12-17 14:57:47.126","2025-12-17 14:57:47.126"
"024bb1ad-6777-4a20-91f4-d2dc6e1707db","2010068","2010-06-15 00:00:00","{03,13,18,20,23,28}","13",NULL,NULL,"2025-12-17 14:57:40.928","2025-12-17 14:57:40.928"
"025f24ba-dd8f-41ff-b54a-d1c46ca00580","2018024","2018-03-04 00:00:00","{11,19,22,26,31,32}","02",NULL,NULL,"2025-12-17 14:57:46.471","2025-12-17 14:57:46.471"
"026cc912-7603-4b6f-bd5c-5e8f7827a660","2012126","2012-10-25 00:00:00","{03,05,12,15,23,24}","07",NULL,NULL,"2025-12-17 14:57:42.738","2025-12-17 14:57:42.738"
"0288030b-edf7-4ed4-b430-b1bb7f8f062e","2014040","2014-04-13 00:00:00","{03,04,06,11,12,15}","08",NULL,NULL,"2025-12-17 14:57:43.641","2025-12-17 14:57:43.641"
"02970d3d-c081-4939-af59-9f1d64ad4f05","2019085","2019-07-23 00:00:00","{01,04,14,18,24,29}","04",NULL,NULL,"2025-12-17 14:57:47.409","2025-12-17 14:57:47.409"
"02ba8b10-fe70-4bfc-a9b2-3c1447d05758","2015102","2015-09-01 00:00:00","{07,09,12,14,21,23}","06",NULL,NULL,"2025-12-17 14:57:44.743","2025-12-17 14:57:44.743"
"02dda2d4-c6c6-4d63-8f8a-2960fc5a5aa0","2014145","2014-12-14 00:00:00","{10,12,13,23,26,29}","11",NULL,NULL,"2025-12-17 14:57:44.254","2025-12-17 14:57:44.254"
"02fdfbc4-be84-4252-82d7-85dc4400cb04","2019140","2019-12-05 00:00:00","{02,04,09,11,14,22}","05",NULL,NULL,"2025-12-17 14:57:47.674","2025-12-17 14:57:47.674"
"034de9e7-e6dd-47a1-b818-87a456d0a304","2017051","2017-05-04 00:00:00","{02,05,09,15,24,25}","11",NULL,NULL,"2025-12-17 14:57:45.885","2025-12-17 14:57:45.885"
"0366b122-8d0e-4c5b-8f03-67ba3b647b56","2022019","2022-02-22 00:00:00","{05,06,14,20,21,25}","08",NULL,NULL,"2025-12-17 14:57:48.958","2025-12-17 14:57:48.958"
"036ef9a7-eb20-4723-8540-7ecf467ffe03","2007030","2007-03-18 00:00:00","{03,16,21,22,27,30}","04",NULL,NULL,"2025-12-17 14:57:38.83","2025-12-17 14:57:38.83"
"03864d4a-846c-4f7c-a241-78a6f672e28d","2010112","2010-09-26 00:00:00","{01,08,18,24,29,30}","16",NULL,NULL,"2025-12-17 14:57:41.093","2025-12-17 14:57:41.093"
"039dbbe1-d29b-4d9e-8e72-d2e8b054aa0d","2019150","2019-12-29 00:00:00","{02,09,14,22,27,29}","02",NULL,NULL,"2025-12-17 14:57:47.718","2025-12-17 14:57:47.718"
"03a85931-97b4-404e-b2c9-b28f689ff242","2022116","2022-10-11 00:00:00","{08,14,26,27,30,33}","01",NULL,NULL,"2025-12-17 14:57:49.324","2025-12-17 14:57:49.324"
"03a91105-b63d-4e15-8ece-08aeee14e2dd","2008024","2008-03-02 00:00:00","{11,20,21,26,28,30}","13",NULL,NULL,"2025-12-17 14:57:39.431","2025-12-17 14:57:39.431"
"03abfc4b-ab7d-492b-8ae2-e294805c0470","2024083","2024-07-21 00:00:00","{03,09,14,29,32,33}","15",NULL,NULL,"2025-12-17 14:57:50.58","2025-12-17 14:57:50.58"
"03b0830f-d93a-4fb3-a36a-0e23713d0eae","2016083","2016-07-19 00:00:00","{09,16,17,24,30,31}","04",NULL,NULL,"2025-12-17 14:57:45.386","2025-12-17 14:57:45.386"
"03b33925-644d-4313-ae05-c0cb01fab741","2005059","2005-05-24 00:00:00","{07,11,14,18,24,29}","07",NULL,NULL,"2025-12-17 14:57:37.701","2025-12-17 14:57:37.701"
"03b476da-50fb-486e-afd6-ccb21be7dc66","2005119","2005-10-11 00:00:00","{01,07,11,18,20,22}","02",NULL,NULL,"2025-12-17 14:57:37.937","2025-12-17 14:57:37.937"
"03c41bfb-5723-4067-af2c-6de2d96fde76","2015026","2015-03-08 00:00:00","{02,13,17,21,22,33}","13",NULL,NULL,"2025-12-17 14:57:44.398","2025-12-17 14:57:44.398"
"03d626a9-8c40-479e-b273-645d4ebeaa2c","2006127","2006-10-29 00:00:00","{03,04,11,17,19,30}","01",NULL,NULL,"2025-12-17 14:57:38.621","2025-12-17 14:57:38.621"
"03fdea28-cc94-4348-8d1d-13681c7fee8c","2017115","2017-10-01 00:00:00","{04,10,11,25,30,31}","01",NULL,NULL,"2025-12-17 14:57:46.2","2025-12-17 14:57:46.2"
"0422f210-541d-48bf-acf5-d1717d34f854","2014020","2014-02-25 00:00:00","{09,14,17,23,24,25}","15",NULL,NULL,"2025-12-17 14:57:43.563","2025-12-17 14:57:43.563"
"0428cebf-5e02-47df-9d8d-704325240d9b","2024126","2024-11-03 00:00:00","{14,18,23,24,26,33}","10",NULL,NULL,"2025-12-17 14:57:50.857","2025-12-17 14:57:50.857"
"042c2942-edbb-40a7-b042-a4b19a565499","2019098","2019-08-22 00:00:00","{03,11,12,14,17,26}","09",NULL,NULL,"2025-12-17 14:57:47.462","2025-12-17 14:57:47.462"
"04791e41-8404-4279-a4bc-ed8c120d3f01","2018111","2018-09-23 00:00:00","{01,07,14,24,25,28}","08",NULL,NULL,"2025-12-17 14:57:46.865","2025-12-17 14:57:46.865"
"04b267bb-bc25-45b7-9e2b-54383bc207fd","2004075","2004-09-12 00:00:00","{07,18,21,26,27,28}","07",NULL,NULL,"2025-12-17 14:57:37.279","2025-12-17 14:57:37.279"
"04f84a59-6a99-4337-9b5c-01dc194fae6a","2023038","2023-04-06 00:00:00","{02,09,14,17,31,33}","08",NULL,NULL,"2025-12-17 14:57:49.616","2025-12-17 14:57:49.616"
"053d144b-dcd3-4104-ad40-1ac33e52c35d","2015138","2015-11-24 00:00:00","{01,02,08,16,19,24}","11",NULL,NULL,"2025-12-17 14:57:44.947","2025-12-17 14:57:44.947"
"0548ace0-154f-4825-9db4-e1feaf5a4953","2020050","2020-06-14 00:00:00","{04,09,17,20,32,33}","15",NULL,NULL,"2025-12-17 14:57:47.939","2025-12-17 14:57:47.939"
"054cff17-c769-435b-96e4-b4bb65a31817","2011083","2011-07-19 00:00:00","{07,16,18,24,28,29}","06",NULL,NULL,"2025-12-17 14:57:41.86","2025-12-17 14:57:41.86"
"0554e333-7c7d-431e-b3d8-a75d924a40b7","2016037","2016-04-03 00:00:00","{06,15,26,31,32,33}","16",NULL,NULL,"2025-12-17 14:57:45.176","2025-12-17 14:57:45.176"
"055d0072-aff5-4147-81a8-e502c831e874","2019055","2019-05-14 00:00:00","{01,06,11,15,19,31}","10",NULL,NULL,"2025-12-17 14:57:47.288","2025-12-17 14:57:47.288"
